name,lanetype,the_length
FAIT AVE,SHARED BUS BIKE,NA
FALLSWAY,SHARED BUS BIKE,NA
FAWN ST,SHARED BUS BIKE,NA
FLEET ST,SHARED BUS BIKE,NA
FRANKFORD AVE,SHARED BUS BIKE,NA
FRANKFORD ROAD,SHARED BUS BIKE,NA
FRANKFURST AVE,SHARED BUS BIKE,NA
FREDERICK AVE,SHARED BUS BIKE,NA
FREDERICK ROAD,SHARED BUS BIKE,NA
GARRISON BLVD,SHARED BUS BIKE,NA
GLEN AVE,SHARED BUS BIKE,NA
GOUGH ST,SHARED BUS BIKE,NA
GREENSPRING AVE,SHARED BUS BIKE,NA
GREENWAY,SHARED BUS BIKE,NA
GUILFORD AVE,SHARED BUS BIKE,NA
GUILFORD TERR,SHARED BUS BIKE,NA
GWYNN OAK AVE,SHARED BUS BIKE,NA
HAMLIN AVE,SHARED BUS BIKE,NA
HILLEN ROAD,SHARED BUS BIKE,NA
HILTON ROAD,SHARED BUS BIKE,NA
HUNTINGDON PATH,SHARED BUS BIKE,NA
JACKSON ST,SHARED BUS BIKE,NA
KELLY AVE,SHARED BUS BIKE,NA
KESWICK ROAD,SHARED BUS BIKE,NA
LAKE DR,SHARED BUS BIKE,NA
LAKE MONTEBELLO DR,SHARED BUS BIKE,NA
LANCASTER ST,SHARED BUS BIKE,NA
LEAKIN ST,SHARED BUS BIKE,NA
LIBERTY HEIGHTS AVE,SHARED BUS BIKE,NA
LIGHT ST,SHARED BUS BIKE,NA
LOCH RAVEN BLVD,SHARED BUS BIKE,NA
MADISON AVE,SHARED BUS BIKE,NA
MC CALLUM DR,SHARED BUS BIKE,NA
MILLBROOK ROAD,SHARED BUS BIKE,NA
MORAVIA PARK DR,SHARED BUS BIKE,NA
N BROADWAY,SHARED BUS BIKE,NA
N CENTRAL AVE,SHARED BUS BIKE,NA
N CHARLES,SHARED BUS BIKE,NA
N CHARLES ST,SHARED BUS BIKE,NA
N HIGHLAND AVE,SHARED BUS BIKE,NA
N ROGERS AVE,SHARED BUS BIKE,NA
NORTHWOOD DR,SHARED BUS BIKE,NA
NORWOOD ROAD,SHARED BUS BIKE,NA
NOTRE DAME LANE,SHARED BUS BIKE,NA
O'DONNELL ST CUT OFF,SHARED BUS BIKE,NA
PACIFIC ST,SHARED BUS BIKE,NA
PARK HEIGHTS AVE,SHARED BUS BIKE,NA
PENTWOOD ROAD,SHARED BUS BIKE,NA
PIMLICO ROAD,SHARED BUS BIKE,NA
POST ROAD,SHARED BUS BIKE,NA
POTEE ST,SHARED BUS BIKE,NA
PRESIDENT ST,SHARED BUS BIKE,NA
RIVERSIDE AVE,SHARED BUS BIKE,NA
ROLAND AVE,SHARED BUS BIKE,NA
S BROADWAY,SHARED BUS BIKE,NA
S CAROLINE ST,SHARED BUS BIKE,NA
S CENTRAL AVE,SHARED BUS BIKE,NA
S CONKLING ST,SHARED BUS BIKE,NA
S EXETER ST,SHARED BUS BIKE,NA
S HANOVER,SHARED BUS BIKE,NA
S HANOVER ST,SHARED BUS BIKE,NA
S HAVEN ST,SHARED BUS BIKE,NA
S HIGHLAND AVE,SHARED BUS BIKE,NA
S MONTFORD AVE,SHARED BUS BIKE,NA
S PRESIDENT ST,SHARED BUS BIKE,NA
SAINT PAUL ST,SHARED BUS BIKE,NA
SAN MARTIN DR,SHARED BUS BIKE,NA
SEQUOIA AVE,SHARED BUS BIKE,NA
STUART AVE,SHARED BUS BIKE,NA
THE ALAMEDA,SHARED BUS BIKE,NA
TRAINOR AVE,SHARED BUS BIKE,NA
TRINITY ST,SHARED BUS BIKE,NA
VAN LILL ST,SHARED BUS BIKE,NA
W 33RD ST,SHARED BUS BIKE,NA
W 36TH ST,SHARED BUS BIKE,NA
W 39TH ST,SHARED BUS BIKE,NA
W BELVEDERE AVE,SHARED BUS BIKE,NA
W COLD SPRING LANE,SHARED BUS BIKE,NA
W LANVALE ST,SHARED BUS BIKE,NA
W LOMBARD ST,SHARED BUS BIKE,2438.0692664
W PRATT ST,SHARED BUS BIKE,2447.71703994
W ROGERS AVE,SHARED BUS BIKE,NA
W UNIVERSITY PKWY,SHARED BUS BIKE,NA
WABASH AVE,SHARED BUS BIKE,NA
WALTHER AVE,SHARED BUS BIKE,NA
WARREN AVE,SHARED BUS BIKE,NA
WHITMAN DR,SHARED BUS BIKE,NA
